25/02 16:02:00 FINE sim.Admin|Log for simulation 215 started
25/02 16:02:32 INFO agents.DemandAgent|Day 3 : Campaign limit expired Impressed while over limit: 287235307
25/02 16:02:32 INFO agents.DemandAgent|Day 3 :Campaign limit expired Impressed while over limit: 687155732, limit was: 312, 0.6225108760288154 value is: 313.0, 9.226067478107602E-4
25/02 16:02:32 INFO agents.DemandAgent|Day 3 : Campaign limit expired Impressed while over limit: 687155732
25/02 16:02:32 INFO agents.DemandAgent|Day 3 :Campaign limit expired Impressed while over limit: 963409389, limit was: 311, 0.6187281050477611 value is: 311.5, 6.055929465489985E-4
25/02 16:02:32 INFO agents.DemandAgent|Day 3 : Campaign limit expired Impressed while over limit: 963409389
25/02 16:02:35 INFO sim.Simulation|***** START OF TIME 3 COMPLETE *****
25/02 16:02:35 INFO agents.SampleAdNetwork|Day 3 :BankStatus[-0.113477]
25/02 16:02:35 INFO agents.SampleAdNetwork|Day 3: Updating campaign 775541541 stats: 0.0 tgtImps 0.0 nonTgtImps. Cost of imps is 0.0
25/02 16:02:35 INFO agents.SampleAdNetwork|Day 3: Daily notification for campaign 594754518
25/02 16:02:35 INFO agents.SampleAdNetwork|Day 3:  allocated to adv1. UCS Level set to 0.81 at price 0.058992579449999985 Qualit Score is: 1.0
25/02 16:02:35 INFO agents.SampleAdNetwork|Day 3: Campaign opportunity - Campaign ID 1733217084: day 5 to 7  FEMALE HIGH_INCOME, reach: 5000 coefs: (v=2.0, m=1.5)
25/02 16:02:35 INFO agents.SampleAdNetwork|Day 3: Campaign total budget bid: 2.784
25/02 16:02:35 INFO agents.SampleAdNetwork|Day 3: Adjusting ucs bid: was 0.07638708542698831 level reported: 0.81 target: 0.7 adjusted: 0.0679845060300196
25/02 16:02:35 INFO agents.SampleAdNetwork|Day 3 : Simulation Status Received
25/02 16:02:35 INFO agents.SampleAdNetwork|Day 3: Updated 24 Bid Bundle entries for Campaign id 775541541
25/02 16:02:35 INFO agents.SampleAdNetwork|Day 3: Sending BidBundle
25/02 16:02:35 INFO agents.SampleAdNetwork|Day 3 ended. Starting next day
25/02 16:02:36 INFO agents.DemandAgent|Day 3 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.0679845060300196 Cmp ID: 1733217084 Cmp Bid: 2784
25/02 16:02:36 INFO agents.DemandAgent|Day 3 :Got AdNetBidMessage from adv3 : UCS Bid: 0.05938159117351884 Cmp ID: 1733217084 Cmp Bid: 268
25/02 16:02:36 INFO agents.DemandAgent|Day 3 :Got AdNetBidMessage from adv1 : UCS Bid: 0.08115268593677762 Cmp ID: 1733217084 Cmp Bid: 1
25/02 16:02:36 INFO agents.DemandAgent|Day 3 :Got AdNetBidMessage from adv4 : UCS Bid: 0.07192553329954075 Cmp ID: 1733217084 Cmp Bid: 269
25/02 16:02:36 INFO agents.DemandAgent|Day 3 :Got AdNetBidMessage from adv6 : UCS Bid: 0.08528433399499996 Cmp ID: 1733217084 Cmp Bid: 262
25/02 16:02:36 INFO agents.DemandAgent|Day 3 :Got AdNetBidMessage from adv7 : UCS Bid: 0.09054133445 Cmp ID: 1733217084 Cmp Bid: 274
25/02 16:02:36 INFO agents.DemandAgent|Day 3 :Got AdNetBidMessage from adv5 : UCS Bid: 0.07594957240645499 Cmp ID: 1733217084 Cmp Bid: 261
25/02 16:02:36 INFO agents.DemandAgent|Day 3 :Got AdNetBidMessage from adv2 : UCS Bid: 0.07770665347735499 Cmp ID: 1733217084 Cmp Bid: 277
25/02 16:02:36 FINE auction.DefaultPublisherBehavior|Recieved tau.tac.adx.props.AdxBidBundle: (AdxBidBundle limit: NaN BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.9464685457534733, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=0.625 , weight=625])
25/02 16:02:36 FINE auction.DefaultPublisherBehavior|Recieved tau.tac.adx.props.AdxBidBundle: (AdxBidBundle limit: NaN BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.1022, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=0.2497117137328558 , weight=1249] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0654, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=0.1635 , weight=2500] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=1.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=0.6239375172311379 , weight=311] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0816, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=0.204 , weight=2500])
25/02 16:02:36 FINE auction.DefaultPublisherBehavior|Recieved tau.tac.adx.props.AdxBidBundle: (AdxBidBundle limit: NaN BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=0.6239898904606243 , weight=0])
25/02 16:02:36 FINE auction.DefaultPublisherBehavior|Recieved tau.tac.adx.props.AdxBidBundle: (AdxBidBundle limit: NaN BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=NaN , weight=1] BidEntry [ad=(Ad generic:true product:null), bid=0.0, dailyLimit=0.6239604545383342 , weight=0])
